"Date","maxtempC","mintempC","DewPointC","cloudcover","humidity","pressure","visibility","windspeedKmph","precipMM","RainToday","RainNextday"
"1/1/2009",31,13,7.166666667,0.625,37.125,1012.875,10,4.5,0,0,0
"1/2/2009",30,15,9.25,3.833333333,45,1013.625,10,5.458333333,0,0,0
"1/3/2009",30,15,10.20833333,4.041666667,48.625,1014.833333,10,3.75,0,0,0
"1/4/2009",31,14,11.25,5.291666667,51.875,1013.625,10,2.583333333,0,0,0
"1/5/2009",30,15,11.20833333,8.416666667,51.20833333,1011.75,10,4.791666667,0,0,0
"1/6/2009",29,15,10.25,1.625,46.29166667,1011.833333,10,5.25,0,0,0
"1/7/2009",29,14,8.208333333,24.375,40.91666667,1012.791667,10,3.708333333,0,0,0
"1/8/2009",28,20,10.375,23.25,43.45833333,1014.583333,10,4.875,0,0,0
"1/9/2009",27,20,13.625,29.16666667,55.625,1015.583333,10,5.083333333,0,0,1
"1/10/2009",31,19,14.08333333,27.75,54.70833333,1014.958333,9.375,4.958333333,0.008333333,1,0
"1/11/2009",31,20,12,25.29166667,45.66666667,1015.083333,10,4.333333333,0,0,0
"1/12/2009",31,19,10.75,14.79166667,43.83333333,1017,10,3.833333333,0,0,0
"1/13/2009",30,17,9.583333333,4.875,41.54166667,1018.291667,10,7.25,0,0,0
"1/14/2009",30,17,8.625,3.541666667,38.75,1018.458333,10,8.458333333,0,0,0
"1/15/2009",30,17,7.791666667,2.625,37.83333333,1017.666667,10,8.708333333,0,0,0
"1/16/2009",30,17,8.541666667,2.541666667,38.5,1017.125,10,7.958333333,0,0,0
"1/17/2009",30,16,9.416666667,9.625,41.83333333,1015.625,10,5.291666667,0,0,0
"1/18/2009",31,17,9.333333333,3.5,40.375,1014.583333,10,6.125,0,0,0
"1/19/2009",31,18,8.75,1,35.91666667,1014.208333,10,6.875,0,0,0
"1/20/2009",32,17,6.041666667,2.583333333,30.04166667,1014.041667,10,6.666666667,0,0,0
"1/21/2009",33,18,6.5,1.291666667,30.70833333,1013.833333,10,4.791666667,0,0,0
"1/22/2009",33,16,6.833333333,5.708333333,33.66666667,1012.875,10,4.416666667,0,0,0
"1/23/2009",33,18,4.708333333,2.75,26.79166667,1011.875,10,7.083333333,0,0,0
"1/24/2009",33,16,1.375,41.95833333,24.70833333,1011.625,10,4.708333333,0,0,0
"1/25/2009",33,15,5.041666667,25.625,30.58333333,1011.833333,10,3.791666667,0,0,0
"1/26/2009",33,16,6.708333333,0,31.25,1012.166667,10,4.708333333,0,0,0
"1/27/2009",33,17,7.416666667,0.5,32.58333333,1012.458333,10,4.25,0,0,0
"1/28/2009",34,16,6.583333333,1.666666667,31.20833333,1011.958333,10,4.708333333,0,0,0
"1/29/2009",34,16,4.333333333,5.166666667,28.125,1012.333333,10,4.5,0,0,0
"1/30/2009",35,18,6.125,6.916666667,29.08333333,1012,10,4.5,0,0,0
